group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
11,Đọc kanji,Mina bài 17,1,覚えます đọc là gì?,覚emasu,Chọn cách đọc đúng.,おぼえます,わすれます,なくします,はらいます
11,Đọc kanji,Mina bài 17,2,忘れます đọc là gì?,忘remasu,Chọn cách đọc đúng.,わすれます,おぼえます,かえします,でかけます
11,Đọc kanji,Mina bài 17,3,払います đọc là gì?,払imasu,Chọn cách đọc đúng.,はらいます,かえします,なくします,ぬぎます
11,Đọc kanji,Mina bài 17,4,返します đọc là gì?,返shimasu,Chọn cách đọc đúng.,かえします,はらいます,でかけます,しんぱいします
11,Đọc kanji,Mina bài 17,5,脱ぎます đọc là gì?,脱gimasu,Chọn cách đọc đúng.,ぬぎます,でかけます,もっていきます,なくします
11,Đọc kanji,Mina bài 17,6,飲みます đọc là gì?,飲mimasu,Chọn cách đọc đúng.,のみます,はいります,でかけます,しんぱいします
11,Đọc kanji,Mina bài 17,7,入ります đọc là gì?,入rimasu,Chọn cách đọc đúng.,はいります,のみます,でます,いれます
11,Đọc kanji,Mina bài 17,8,大切 đọc là gì?,大切,Chọn cách đọc đúng.,たいせつ,だいじょうぶ,あぶない,もんだい
11,Đọc kanji,Mina bài 17,9,問題 đọc là gì?,問題,Chọn cách đọc đúng.,もんだい,こたえ,じかん,くすり
11,Đọc kanji,Mina bài 17,10,病院 đọc là gì?,病院,Chọn cách đọc đúng.,びょういん,びょうき,せんせい,ほけんしょう
