group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
17,Phân biệt từ dễ nhầm / sức khỏe,Mina bài 17,1,かぜ và ねつ khác nhau thế nào?,kaze và netsu,Chọn cách phân biệt đúng.,かぜ là cảm lạnh; ねつ là sốt,かぜ là sốt; ねつ là cảm lạnh,Cả hai đều là thuốc,Cả hai đều là bệnh viện
17,Phân biệt từ dễ nhầm / sức khỏe,Mina bài 17,2,びょうき và びょういん khác nhau thế nào?,byouki và byouin,Chọn cách phân biệt đúng.,びょうき là bệnh; びょういん là bệnh viện,びょうき là bệnh viện; びょういん là bệnh,Cả hai đều là thuốc,Cả hai đều là thẻ bảo hiểm
17,Phân biệt từ dễ nhầm / sức khỏe,Mina bài 17,3,のど và のどが いたいです khác nhau thế nào?,nodo và nodoga itaidesu,Chọn cách phân biệt đúng.,のど là cổ họng; のどが いたいです là đau họng,のど là đau họng; のどが いたいです là thuốc,Cả hai đều là sốt,Cả hai đều là cảm lạnh
17,Phân biệt từ dễ nhầm / sức khỏe,Mina bài 17,4,かぜ và かぜを ひきました khác nhau thế nào?,kaze và kazeo hikimashita,Chọn cách phân biệt đúng.,かぜ là cảm lạnh; かぜを ひきました là bị cảm,かぜ là bị cảm; かぜを ひきました là cổ họng,Cả hai đều là bệnh viện,Cả hai đều là áo khoác
17,Phân biệt từ dễ nhầm / sức khỏe,Mina bài 17,5,うわぎ và したぎ khác nhau thế nào?,uwagi và shitagi,Chọn cách phân biệt đúng.,うわぎ là áo khoác; したぎ là đồ lót,うわぎ là đồ lót; したぎ là áo khoác,Cả hai đều là bồn tắm,Cả hai đều là thuốc
17,Phân biệt từ dễ nhầm / sức khỏe,Mina bài 17,6,おふろ và くすり khác nhau thế nào?,ofuro và kusuri,Chọn cách phân biệt đúng.,おふろ là bồn tắm/tắm; くすり là thuốc,おふろ là thuốc; くすり là tắm,Cả hai đều là sốt,Cả hai đều là thẻ bảo hiểm
17,Phân biệt từ dễ nhầm / sức khỏe,Mina bài 17,7,先生（せんせい） và びょういん khác nhau thế nào?,sensei và byouin,Chọn cách phân biệt đúng.,先生 là bác sĩ/giáo viên; びょういん là bệnh viện,先生 là bệnh viện; びょういん là bác sĩ,Cả hai đều là thuốc,Cả hai đều là bệnh
17,Phân biệt từ dễ nhầm / sức khỏe,Mina bài 17,8,きんえん và たばこ khác nhau thế nào?,kinen và tabako,Chọn cách phân biệt đúng.,きんえん là cấm hút thuốc; たばこ là thuốc lá,きんえん là thuốc lá; たばこ là cấm hút thuốc,Cả hai đều là bị cảm,Cả hai đều là thuốc
17,Phân biệt từ dễ nhầm / sức khỏe,Mina bài 17,9,どうしましたか và おだいじに khác nhau thế nào?,doushimashitaka và odaijini,Chọn cách phân biệt đúng.,どうしましたか là “bị sao vậy?”; おだいじに là “giữ gìn sức khỏe nhé”,どうしましたか là “giữ gìn sức khỏe”; おだいじに là “bị sao vậy?”,Cả hai đều là “vì vậy”,Cả hai đều là “sau đó”
17,Phân biệt từ dễ nhầm / sức khỏe,Mina bài 17,10,だいじょうぶ và おだいじに khác nhau thế nào?,daijoubu và odaijini,Chọn cách phân biệt đúng.,だいじょうぶ là ổn/không sao; おだいじに là giữ gìn sức khỏe,だいじょうぶ là giữ gìn sức khỏe; おだいじに là nguy hiểm,Cả hai đều là đau,Cả hai đều là quan trọng
