group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
16,Phân biệt từ dễ nhầm / câu,Mina bài 18,1,なかなか và ぜひ khác nhau thế nào?,Chọn đáp án phù hợp.,なかなか là mãi mà/khó mà; ぜひ là nhất định/rất mong,なかなか là nhất định; ぜひ là khó mà,Cả hai đều nghĩa là thật không,Cả hai đều nghĩa là ồ
16,Phân biệt từ dễ nhầm / câu,Mina bài 18,2,へえ và ほんとうですか khác nhau thế nào?,Chọn đáp án phù hợp.,へえ là “ồ/vậy à”; ほんとうですか là “thật không?”,へえ là “thật không”; ほんとうですか là “nhất định”,Cả hai đều là “mãi mà”,Cả hai đều là “đặc biệt là”
16,Phân biệt từ dễ nhầm / câu,Mina bài 18,3,それは おもしろいですね và ぜひ いきたいです khác nhau thế nào?,Chọn đáp án phù hợp.,それは おもしろいですね là “điều đó thú vị”; ぜひ いきたいです là “nhất định muốn đi”,それは おもしろいですね là “nhất định muốn đi”; ぜひ いきたいです là “thật không”,Cả hai đều nghĩa là “không muốn đi”,Cả hai đều nghĩa là “khó mà đi”
16,Phân biệt từ dễ nhầm / câu,Mina bài 18,4,ピアノ và うた khác nhau thế nào?,Chọn đáp án phù hợp.,ピアノ là đàn piano; うた là bài hát,ピアノ là bài hát; うた là đàn piano,Cả hai đều là internet,Cả hai đều là tiền mặt
16,Phân biệt từ dễ nhầm / câu,Mina bài 18,5,インターネット và げんきん khác nhau thế nào?,Chọn đáp án phù hợp.,インターネット là internet; げんきん là tiền mặt,インターネット là tiền mặt; げんきん là internet,Cả hai đều là sở thích,Cả hai đều là nhật ký
16,Phân biệt từ dễ nhầm / câu,Mina bài 18,6,メートル và げんきん khác nhau thế nào?,Chọn đáp án phù hợp.,メートル là mét; げんきん là tiền mặt,メートル là tiền mặt; げんきん là mét,Cả hai đều là internet,Cả hai đều là động vật
16,Phân biệt từ dễ nhầm / câu,Mina bài 18,7,ぼくじょう và 会社（かいしゃ） khác nhau thế nào?,Chọn đáp án phù hợp.,ぼくじょう là nông trại; 会社 là công ty,ぼくじょう là công ty; 会社 là nông trại,Cả hai đều là trường học,Cả hai đều là chức vụ
16,Phân biệt từ dễ nhầm / câu,Mina bài 18,8,課長（かちょう） và 会社員（かいしゃいん） khác nhau thế nào?,Chọn đáp án phù hợp.,課長 là trưởng phòng; 会社員 là nhân viên công ty,課長 là nhân viên; 会社員 là trưởng phòng,Cả hai đều là giám đốc,Cả hai đều là trưởng bộ phận
16,Phân biệt từ dễ nhầm / câu,Mina bài 18,9,日記（にっき） và 手紙（てがみ） khác nhau thế nào?,Chọn đáp án phù hợp.,日記 là nhật ký; 手紙 là thư,日記 là thư; 手紙 là nhật ký,Cả hai đều là tiền mặt,Cả hai đều là catalogue
16,Phân biệt từ dễ nhầm / câu,Mina bài 18,10,予約（よやく） và 見学（けんがく） khác nhau thế nào?,Chọn đáp án phù hợp.,予約 là đặt chỗ; 見学 là tham quan học tập,予約 là tham quan; 見学 là đặt chỗ,Cả hai đều là lái xe,Cả hai đều là sưu tầm
