group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
16,Phân biệt từ dễ nhầm,Mina bài 17,1,おぼえます và わすれます khác nhau thế nào?,oboemasu và wasuremasu,Chọn cách phân biệt đúng.,おぼえます là nhớ; わすれます là quên,おぼえます là quên; わすれます là nhớ,Cả hai đều là trả tiền,Cả hai đều là mang đi
16,Phân biệt từ dễ nhầm,Mina bài 17,2,なくします và わすれます khác nhau thế nào?,nakushimasu và wasuremasu,Chọn cách phân biệt đúng.,なくします là làm mất; わすれます là quên,なくします là quên; わすれます là làm mất,Cả hai đều là trả lại,Cả hai đều là cởi
16,Phân biệt từ dễ nhầm,Mina bài 17,3,はらいます và かえします khác nhau thế nào?,haraimasu và kaeshimasu,Chọn cách phân biệt đúng.,はらいます là trả tiền; かえします là trả lại,はらいます là trả lại; かえします là trả tiền,Cả hai đều là làm mất,Cả hai đều là ra ngoài
16,Phân biệt từ dễ nhầm,Mina bài 17,4,もっていきます và もってきます khác nhau thế nào?,motteikimasu và mottekimasu,Chọn cách phân biệt đúng.,もっていきます là mang đi; もってきます là mang đến,もっていきます là mang đến; もってきます là mang đi,Cả hai đều là quên,Cả hai đều là trả tiền
16,Phân biệt từ dễ nhầm,Mina bài 17,5,ざんぎょうします và しゅっちょうします khác nhau thế nào?,zangyoushimasu và shucchoushimasu,Chọn cách phân biệt đúng.,ざんぎょうします là làm thêm giờ; しゅっちょうします là đi công tác,ざんぎょうします là đi công tác; しゅっちょうします là làm thêm giờ,Cả hai đều là bị bệnh,Cả hai đều là trả tiền
16,Phân biệt từ dễ nhầm,Mina bài 17,6,たいせつ và だいじょうぶ khác nhau thế nào?,taisetsu và daijoubu,Chọn cách phân biệt đúng.,たいせつ là quan trọng; だいじょうぶ là ổn / không sao,たいせつ là không sao; だいじょうぶ là quan trọng,Cả hai đều là nguy hiểm,Cả hai đều là bệnh
16,Phân biệt từ dễ nhầm,Mina bài 17,7,あぶない và だいじょうぶ khác nhau thế nào?,abunai và daijoubu,Chọn cách phân biệt đúng.,あぶない là nguy hiểm; だいじょうぶ là ổn / không sao,あぶない là ổn; だいじょうぶ là nguy hiểm,Cả hai đều là quan trọng,Cả hai đều là câu trả lời
16,Phân biệt từ dễ nhầm,Mina bài 17,8,問題（もんだい） và こたえ khác nhau thế nào?,mondai và kotae,Chọn cách phân biệt đúng.,問題 là vấn đề/câu hỏi; こたえ là câu trả lời,問題 là câu trả lời; こたえ là câu hỏi,Cả hai đều là bệnh viện,Cả hai đều là thuốc
16,Phân biệt từ dễ nhầm,Mina bài 17,9,〜までに và 〜まで khác nhau thế nào?,〜madeni và 〜made,Chọn cách phân biệt đúng.,〜までに là trước hạn; 〜まで là đến/cho đến,〜までに là đến; 〜まで là trước hạn,Cả hai đều nghĩa là sau đó,Cả hai đều nghĩa là vì vậy
16,Phân biệt từ dễ nhầm,Mina bài 17,10,ですから và それから khác nhau thế nào?,desukara và sorekara,Chọn cách phân biệt đúng.,ですから là vì vậy; それから là sau đó / ngoài ra,ですから là sau đó; それから là vì vậy,Cả hai đều là bị cảm,Cả hai đều là đau họng
