group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
14,Phân biệt từ dễ nhầm,Mina bài 15,1,しります và しっています khác nhau thế nào?,shirimasu v à shitteimasu kh ác nhau th ế n ào?,しります và しっています khác nhau thế nào?,しります là “biết” dạng từ vựng; しっています là trạng thái “đang biết”,しります là không biết; しっています là sống,Cả hai đều nghĩa là sống,Cả hai đều nghĩa là bán
14,Phân biệt từ dễ nhầm,Mina bài 15,2,しっています và しりません khác nhau thế nào?,shitteimasu v à shirimasen kh ác nhau th ế n ào?,しっています và しりません khác nhau thế nào?,しっています là biết; しりません là không biết,しっています là không biết; しりません là biết,Cả hai đều là đang sống,Cả hai đều là đang dùng
14,Phân biệt từ dễ nhầm,Mina bài 15,3,すみます và すんでいます khác nhau thế nào?,sumimasu v à sundeimasu kh ác nhau th ế n ào?,すみます và すんでいます khác nhau thế nào?,すみます là sống/cư trú; すんでいます là đang sống,すみます là đang sống; すんでいます là không biết,Cả hai đều là nghiên cứu,Cả hai đều là bán
14,Phân biệt từ dễ nhầm,Mina bài 15,4,たちます và すわります khác nhau thế nào?,tachimasu v à suwarimasu kh ác nhau th ế n ào?,たちます và すわります khác nhau thế nào?,たちます là đứng; すわります là ngồi,たちます là ngồi; すわります là đứng,Cả hai đều là đặt,Cả hai đều là bán
14,Phân biệt từ dễ nhầm,Mina bài 15,5,つかいます và つくります khác nhau thế nào?,tsukaimasu v à tsukurimasu kh ác nhau th ế n ào?,つかいます và つくります khác nhau thế nào?,つかいます là dùng; つくります là làm/chế tạo,つかいます là làm; つくります là dùng,Cả hai đều là bán,Cả hai đều là biết
14,Phân biệt từ dễ nhầm,Mina bài 15,6,つくります và うります khác nhau thế nào?,tsukurimasu v à urimasu kh ác nhau th ế n ào?,つくります và うります khác nhau thế nào?,つくります là làm/chế tạo; うります là bán,つくります là bán; うります là làm,Cả hai đều là sống,Cả hai đều là nhớ ra
14,Phân biệt từ dễ nhầm,Mina bài 15,7,しりょう và カタログ khác nhau thế nào?,shiryou v à katarogu kh ác nhau th ế n ào?,しりょう và カタログ khác nhau thế nào?,しりょう là tài liệu; カタログ là catalogue,しりょう là catalogue; カタログ là tài liệu,Cả hai đều là quần áo,Cả hai đều là phần mềm
14,Phân biệt từ dễ nhầm,Mina bài 15,8,ソフト và でんしじしょ khác nhau thế nào?,sofuto v à denshijisho kh ác nhau th ế n ào?,ソフト và でんしじしょ khác nhau thế nào?,ソフト là phần mềm; でんしじしょ là từ điển điện tử,ソフト là từ điển điện tử; でんしじしょ là phần mềm,Cả hai đều là quần áo,Cả hai đều là bảng giờ tàu
14,Phân biệt từ dễ nhầm,Mina bài 15,9,はいしゃ và かいしゃいん khác nhau thế nào?,haisha v à kaishain kh ác nhau th ế n ào?,はいしゃ và かいしゃいん khác nhau thế nào?,はいしゃ là nha sĩ; かいしゃいん là nhân viên công ty,はいしゃ là công ty; かいしゃいん là nha sĩ,Cả hai đều là độc thân,Cả hai đều là gia đình
14,Phân biệt từ dễ nhầm,Mina bài 15,10,もう và まだ khác nhau thế nào?,mou v à mada kh ác nhau th ế n ào?,もう và まだ khác nhau thế nào?,もう là đã/nữa; まだ là chưa,もう là chưa; まだ là đã,Cả hai đều là ở đây,Cả hai đều là đặc biệt
