group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
18,Phân biệt từ dễ nhầm,Mina bài 10,1,あります và います khác nhau thế nào?,あります và います khác nhau thế nào?,あります dùng cho đồ vật/cây; います dùng cho người/động vật,あります dùng cho người; います dùng cho đồ vật,Cả hai chỉ dùng cho đồ ăn,Cả hai chỉ dùng cho thời gian
18,Phân biệt từ dễ nhầm,Mina bài 10,2,おとこのひと và おんなのひと khác nhau thế nào?,おとこのひと và おんなのひと khác nhau thế nào?,おとこのひと là người đàn ông; おんなのひと là người phụ nữ,おとこのひと là bé trai; おんなのひと là bé gái,Cả hai đều là trẻ em,Cả hai đều là động vật
18,Phân biệt từ dễ nhầm,Mina bài 10,3,おとこのこ và おんなのこ khác nhau thế nào?,おとこのこ và おんなのこ khác nhau thế nào?,おとこのこ là bé trai; おんなのこ là bé gái,おとこのこ là người đàn ông; おんなのこ là người phụ nữ,Cả hai đều là người lớn,Cả hai đều là học sinh
18,Phân biệt từ dễ nhầm,Mina bài 10,4,犬（いぬ） và ねこ khác nhau thế nào?,犬（いぬ） và ねこ khác nhau thế nào?,犬 là chó; ねこ là mèo,犬 là mèo; ねこ là chó,Cả hai đều là voi,Cả hai đều là gấu trúc
18,Phân biệt từ dễ nhầm,Mina bài 10,5,ドア và まど khác nhau thế nào?,ドア và まど khác nhau thế nào?,ドア là cửa; まど là cửa sổ,ドア là cửa sổ; まど là cửa,Cả hai đều là hòm thư,Cả hai đều là tủ lạnh
18,Phân biệt từ dễ nhầm,Mina bài 10,6,テーブル và ベッド khác nhau thế nào?,テーブル và ベッド khác nhau thế nào?,テーブル là bàn; ベッド là giường,テーブル là giường; ベッド là bàn,Cả hai đều là cửa,Cả hai đều là kệ
18,Phân biệt từ dễ nhầm,Mina bài 10,7,きっさてん và ほんや khác nhau thế nào?,きっさてん và ほんや khác nhau thế nào?,きっさてん là quán cà phê; ほんや là hiệu sách,きっさてん là hiệu sách; ほんや là quán cà phê,Cả hai đều là công viên,Cả hai đều là ga
18,Phân biệt từ dễ nhầm,Mina bài 10,8,上（うえ） và 下（した） khác nhau thế nào?,上（うえ） và 下（した） khác nhau thế nào?,上 là trên; 下 là dưới,上 là dưới; 下 là trên,Cả hai đều là bên trong,Cả hai đều là bên ngoài
18,Phân biệt từ dễ nhầm,Mina bài 10,9,右（みぎ） và 左（ひだり） khác nhau thế nào?,右（みぎ） và 左（ひだり） khác nhau thế nào?,右 là bên phải; 左 là bên trái,右 là bên trái; 左 là bên phải,Cả hai đều là trước,Cả hai đều là sau
18,Phân biệt từ dễ nhầm,Mina bài 10,10,中（なか） và 外（そと） khác nhau thế nào?,中（なか） và 外（そと） khác nhau thế nào?,中 là bên trong; 外 là bên ngoài,中 là bên ngoài; 外 là bên trong,Cả hai đều là gần,Cả hai đều là giữa
