わたし	tôi
わたしたち	chúng tôi / chúng ta
あなた	bạn
あのひと	người kia
あのかた	vị kia
みなさん	mọi người
〜さん	anh/chị/ông/bà...
〜ちゃん	bé / em
〜くん	em/cậu
〜じん	người nước...

---

せんせい	giáo viên / thầy cô
きょうし	giáo viên
がくせい	học sinh / sinh viên
かいしゃいん	nhân viên công ty
しゃいん	nhân viên của công ty...
ぎんこういん	nhân viên ngân hàng
いしゃ	bác sĩ
けんきゅうしゃ	nhà nghiên cứu
エンジニア	kỹ sư
だいがく	đại học

---

びょういん	bệnh viện
でんき	điện / đèn
だれ	ai
どなた	vị nào / ai
〜さい	... tuổi
なんさい	mấy tuổi
おいくつ	bao nhiêu tuổi
はい	vâng
いいえ	không
しつれいですが	xin lỗi / thất lễ nhưng...

---

おなまえは	tên của anh/chị là...?
はじめまして	rất vui được gặp lần đầu
どうぞ よろしく	rất mong được giúp đỡ
こちらは〜さんです	đây là anh/chị...
〜から きました	đến từ...
アメリカ	Mỹ
イギリス	Anh
インド	Ấn Độ
インドネシア	Indonesia
かんこく	Hàn Quốc

---

タイ	Thái Lan
ちゅうごく	Trung Quốc
ドイツ	Đức
にほん	Nhật Bản
フランス	Pháp
ブラジル	Brazil
ベトナム	Việt Nam
