わかります	hiểu
あります	có
すき	thích
きらい	ghét / không thích
じょうず	giỏi
へた	kém / dở
りょうり	món ăn / nấu ăn
のみもの	đồ uống
スポーツ	thể thao
やきゅう	bóng chày

---

ダンス	khiêu vũ / nhảy
おんがく	âm nhạc
うた	bài hát / ca hát
クラシック	nhạc cổ điển
ジャズ	nhạc jazz
コンサート	buổi hòa nhạc
カラオケ	karaoke
かぶき	Kabuki
え	tranh
じ	chữ

---

かんじ	chữ Kanji
ひらがな	chữ Hiragana
かたかな	chữ Katakana
ローマじ	chữ Roman
こまかい おかね	tiền lẻ
チケット	vé
じかん	thời gian
ようじ	việc bận / việc riêng
やくそく	cuộc hẹn / lời hứa
ごしゅじん	chồng người khác

---

おっと	chồng tôi
おくさん	vợ người khác
つま	vợ tôi
こども	con / trẻ em
よく	tốt / rõ / thường
だいたい	đại khái / hầu như
たくさん	nhiều
すこし	một chút
ぜんぜん	hoàn toàn không
はやく	sớm / nhanh

---

から	vì / bởi vì
どうして	tại sao
ざんねんです	tiếc quá
すみません	xin lỗi
