おぼえます	nhớ, ghi nhớ
わすれます	quên
なくします	làm mất
はらいます	trả tiền
かえします	trả lại
でかけます	ra ngoài
ぬぎます	cởi
もっていきます	mang đi
もってきます	mang đến
しんぱいします	lo lắng

---

ざんぎょうします	làm thêm giờ
しゅっちょうします	đi công tác
のみます	uống
はいります	vào
たいせつ	quan trọng
だいじょうぶ	ổn, không sao
あぶない	nguy hiểm
もんだい	vấn đề, câu hỏi
こたえ	câu trả lời
きんえん	cấm hút thuốc

---

ほけんしょう	thẻ bảo hiểm
かぜ	cảm lạnh
ねつ	sốt
びょうき	bệnh
くすり	thuốc
おふろ	bồn tắm, tắm
うわぎ	áo khoác
したぎ	đồ lót
せんせい	bác sĩ, giáo viên
びょういん	bệnh viện

---

じかん	thời gian
〜までに	trước hạn, trước lúc
〜まで	đến, cho đến
ですから	vì vậy, cho nên
どうしましたか	bị sao vậy?
のど	cổ họng
いたい	đau
のどが いたいです	đau họng
かぜを ひきました	bị cảm
それから	sau đó, ngoài ra
おだいじに	giữ gìn sức khỏe nhé
