group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
14,Phân biệt từ dễ nhầm,Mina bài 24,1,くれます và あげます khác nhau thế nào?,Kuremasu và agemasu khác nhau thế nào,くれます và あげます khác nhau thế nào?,くれます là ai đó cho mình; あげます là mình/ai đó cho người khác,くれます là mình cho người khác; あげます là ai đó cho mình,Cả hai đều là cho mượn,Cả hai đều là dẫn đi
14,Phân biệt từ dễ nhầm,Mina bài 24,2,連れて行きます（つれていきます） và 連れて来ます（つれてきます） khác nhau thế nào?,Tsureteikimasu và tsuretekimasu khác nhau thế nào,連れて行きます（つれていきます） và 連れて来ます（つれてきます） khác nhau thế nào?,連れて行きます là dẫn đi; 連れて来ます là dẫn đến,連れて行きます là dẫn đến; 連れて来ます là dẫn đi,Cả hai đều là gửi thư,Cả hai đều là viết
14,Phân biệt từ dễ nhầm,Mina bài 24,3,送ります（おくります） và 紹介します（しょうかいします） khác nhau thế nào?,Okurimasu và shoukaishimasu khác nhau thế nào,送ります（おくります） và 紹介します（しょうかいします） khác nhau thế nào?,送ります là đưa đi/tiễn/gửi; 紹介します là giới thiệu,送ります là giới thiệu; 紹介します là gửi,Cả hai đều là giải thích,Cả hai đều là pha trà
14,Phân biệt từ dễ nhầm,Mina bài 24,4,案内します（あんないします） và 説明します（せつめいします） khác nhau thế nào?,Annaishimasu và setsumeishimasu khác nhau thế nào,案内します（あんないします） và 説明します（せつめいします） khác nhau thế nào?,案内します là hướng dẫn/dẫn đường; 説明します là giải thích,案内します là giải thích; 説明します là dẫn đường,Cả hai đều là cho mượn,Cả hai đều là cầm
14,Phân biệt từ dễ nhầm,Mina bài 24,5,入れます（いれます） và 入ります（はいります） khác nhau thế nào?,Iremasu và hairimasu khác nhau thế nào,入れます（いれます） và 入ります（はいります） khác nhau thế nào?,入れます là cho vào/pha; 入ります là đi vào,入れます là đi vào; 入ります là cho vào,Cả hai đều là ra ngoài,Cả hai đều là gọi
14,Phân biệt từ dễ nhầm,Mina bài 24,6,手伝います（てつだいます） và 貸します（かします） khác nhau thế nào?,Tetsudaimasu và kashimasu khác nhau thế nào,手伝います（てつだいます） và 貸します（かします） khác nhau thế nào?,手伝います là giúp đỡ; 貸します là cho mượn,手伝います là cho mượn; 貸します là giúp đỡ,Cả hai đều là viết,Cả hai đều là dẫn đến
14,Phân biệt từ dễ nhầm,Mina bài 24,7,教えます（おしえます） và 書きます（かきます） khác nhau thế nào?,Oshiemasu và kakimasu khác nhau thế nào,教えます（おしえます） và 書きます（かきます） khác nhau thế nào?,教えます là dạy/chỉ; 書きます là viết,教えます là viết; 書きます là dạy,Cả hai đều là gọi,Cả hai đều là mang
14,Phân biệt từ dễ nhầm,Mina bài 24,8,呼びます（よびます） và 持ちます（もちます） khác nhau thế nào?,Yobimasu và mochimasu khác nhau thế nào,呼びます（よびます） và 持ちます（もちます） khác nhau thế nào?,呼びます là gọi; 持ちます là cầm/mang,呼びます là cầm; 持ちます là gọi,Cả hai đều là cho mượn,Cả hai đều là pha
14,Phân biệt từ dễ nhầm,Mina bài 24,9,おじいさん và おばあさん khác nhau thế nào?,Ojiisan và obaasan khác nhau thế nào,おじいさん và おばあさん khác nhau thế nào?,おじいさん là ông/cụ ông; おばあさん là bà/cụ bà,おじいさん là bà; おばあさん là ông,Cả hai đều là mẹ,Cả hai đều là bố
14,Phân biệt từ dễ nhầm,Mina bài 24,10,準備（じゅんび） và 引っ越し（ひっこし） khác nhau thế nào?,Junbi và hikkoshi khác nhau thế nào,準備（じゅんび） và 引っ越し（ひっこし） khác nhau thế nào?,準備 là chuẩn bị; 引っ越し là chuyển nhà,準備 là chuyển nhà; 引っ越し là chuẩn bị,Cả hai đều là quà tặng,Cả hai đều là cơm hộp
