group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
19,Phân biệt từ dễ nhầm / nhà ở,Mina bài 22,1,かみが長い（かみがながい） và かみが短い（かみがみじかい） khác nhau thế nào?,Phân biệt từ dễ nhầm.,かみが長い là tóc dài; かみが短い là tóc ngắn,かみが長い là tóc ngắn; かみが短い là tóc dài,Cả hai đều là dáng cao,Cả hai đều là dáng thấp
19,Phân biệt từ dễ nhầm / nhà ở,Mina bài 22,2,どんな và どの khác nhau thế nào?,Phân biệt từ dễ nhầm.,どんな hỏi “như thế nào/loại gì”; どの hỏi “cái/người nào” trước danh từ,どんな hỏi “ai”; どの hỏi “ở đâu”,Cả hai đều hỏi thời gian,Cả hai đều nghĩa là “vị này”
19,Phân biệt từ dễ nhầm / nhà ở,Mina bài 22,3,誰（だれ） và どこ khác nhau thế nào?,Phân biệt từ dễ nhầm.,誰 là ai; どこ là ở đâu,誰 là ở đâu; どこ là ai,Cả hai đều hỏi thời gian,Cả hai đều hỏi quần áo
19,Phân biệt từ dễ nhầm / nhà ở,Mina bài 22,4,いつ và どこ khác nhau thế nào?,Phân biệt từ dễ nhầm.,いつ là khi nào; どこ là ở đâu,いつ là ở đâu; どこ là khi nào,Cả hai đều hỏi người,Cả hai đều hỏi màu sắc
19,Phân biệt từ dễ nhầm / nhà ở,Mina bài 22,5,アパート và マンション khác nhau thế nào?,Phân biệt từ dễ nhầm.,アパート là căn hộ; マンション là chung cư,アパート là phòng kiểu Nhật; マンション là futon,Cả hai đều là cà vạt,Cả hai đều là quần áo
19,Phân biệt từ dễ nhầm / nhà ở,Mina bài 22,6,わしつ và ダイニングキッチン khác nhau thế nào?,Phân biệt từ dễ nhầm.,わしつ là phòng kiểu Nhật; ダイニングキッチン là phòng ăn + bếp,わしつ là bếp; ダイニングキッチン là phòng kiểu Nhật,Cả hai đều là chung cư,Cả hai đều là tủ âm tường
19,Phân biệt từ dễ nhầm / nhà ở,Mina bài 22,7,おしいれ và ふとん khác nhau thế nào?,Phân biệt từ dễ nhầm.,おしいれ là tủ âm tường; ふとん là đệm futon,おしいれ là futon; ふとん là tủ âm tường,Cả hai đều là tiền thuê nhà,Cả hai đều là căn hộ
19,Phân biệt từ dễ nhầm / nhà ở,Mina bài 22,8,やちん và アパート khác nhau thế nào?,Phân biệt từ dễ nhầm.,やちん là tiền thuê nhà; アパート là căn hộ,やちん là căn hộ; アパート là tiền thuê nhà,Cả hai đều là chung cư,Cả hai đều là phòng kiểu Nhật
19,Phân biệt từ dễ nhầm / nhà ở,Mina bài 22,9,すてき và かわいい khác nhau thế nào?,Phân biệt từ dễ nhầm.,すてき là đẹp/tuyệt; かわいい là dễ thương,すてき là dễ thương; かわいい là đắt,Cả hai đều là rẻ,Cả hai đều là cũ
19,Phân biệt từ dễ nhầm / nhà ở,Mina bài 22,10,こちら và こっち khác nhau thế nào?,Phân biệt từ dễ nhầm.,こちら lịch sự hơn; こっち thân mật hơn,こちら thân mật hơn; こっち lịch sự hơn,Cả hai đều nghĩa là “ai”,Cả hai đều nghĩa là “khi nào”
