思います（おもいます）	nghĩ
言います（いいます）	nói
意見（いけん）	ý kiến
話（はなし）	câu chuyện
本当（ほんとう）	thật
うそ	nói dối / lời nói dối
本当に（ほんとうに）	thật sự
〜について	về / liên quan đến
どう思いますか（どうおもいますか）	bạn nghĩ thế nào?
私（わたし）もそう思います（おもいます）	tôi cũng nghĩ vậy

---

私（わたし）はそう思いません（おもいません）	tôi không nghĩ vậy
足ります（たります）	đủ
役に立ちます（やくにたちます）	có ích
むだ	lãng phí / vô ích
不便（ふべん）	bất tiện
すごい	tuyệt vời / ghê
仕方がありません（しかたがありません）	không còn cách nào khác
もちろん	tất nhiên
そんなに	đến mức như vậy
たぶん	có lẽ

---

きっと	chắc chắn / nhất định
最近（さいきん）	gần đây
しばらくですね	lâu rồi nhỉ
どうですか	thế nào?
もう帰らないと…（もうかえらないと…）	phải về rồi…
勝ちます（かちます）	thắng
負けます（まけます）	thua
試合（しあい）	trận đấu
あります	được tổ chức / có
やめます	nghỉ / bỏ / dừng

---

気をつけます（きをつけます）	chú ý / cẩn thận
うごきます	chuyển động / chạy
じどうしゃ	ô tô / xe hơi
こうつう	giao thông
ぶっか	vật giá
ほうそう	phát sóng
ニュース	tin tức
アニメ	anime / phim hoạt hình
マンガ	manga / truyện tranh
デザイン	thiết kế

---

ゆめ	giấc mơ / ước mơ
てんさい	thiên tài
地球（ちきゅう）	Trái Đất
月（つき）	mặt trăng
