かんたん	đơn giản / dễ
ちかい	gần
とおい	xa
はやい	nhanh / sớm
おそい	chậm / muộn
おおい	nhiều
すくない	ít
あたたかい	ấm
すずしい	mát mẻ
あまい	ngọt

---

からい	cay
おもい	nặng
かるい	nhẹ
いい	tốt
きせつ	mùa
はる	mùa xuân
なつ	mùa hè
あき	mùa thu
ふゆ	mùa đông
てんき	thời tiết

---

あめ	mưa
ゆき	tuyết
くもり	trời nhiều mây
ホテル	khách sạn
くうこう	sân bay
うみ	biển
せかい	thế giới
パーティー	tiệc
まつり	lễ hội
すきやき	món sukiyaki

---

さしみ	sashimi
すし	sushi
てんぷら	tempura
いけばな	nghệ thuật cắm hoa
もみじ	lá đỏ mùa thu
どちら	cái nào / bên nào trong 2
どちらも	cả hai đều
ずっと	hơn nhiều / suốt
はじめて	lần đầu tiên
ただいま	tôi đã về

---

おかえりなさい	mừng anh/chị về
すごいですね	tuyệt quá / ghê quá
でも	nhưng
つかれました	mệt rồi
