あそびます	chơi
およぎます	bơi
むかえます	đón
つかれます	mệt
だします	gửi / nộp / lấy ra
はいります	vào
でます	ra / rời khỏi
けっこんします	kết hôn
かいものします	mua sắm
しょくじします	dùng bữa / ăn

---

さんぽします	đi dạo
たいへん	vất vả / khó khăn
ほしい	muốn có
ひろい	rộng
せまい	hẹp
プール	hồ bơi
かわ	sông
けいざい	kinh tế
びじゅつ	mỹ thuật / nghệ thuật
つり	câu cá

---

スキー	trượt tuyết
かいぎ	cuộc họp
とうろく	đăng ký
しゅうまつ	cuối tuần
〜ごろ	khoảng...
なにか	cái gì đó
どこか	nơi nào đó
おなかが すきました	đói bụng
おなかが いっぱいです	no bụng
のどが かわきました	khát nước

---

そうですね	để xem nào / đúng nhỉ
そうしましょう	làm vậy đi
ごちゅうもんは	quý khách gọi món gì?
ていしょく	suất ăn phần
ぎゅうどん	cơm bò
しょうしょう おまちください	xin chờ một chút
べつべつに	riêng ra
とうきょう	Tokyo
おおさか	Osaka
こうべ	Kobe
