STT,Start time,End time,Speaker,Script segment,Ghi chú
1,00:00:00.860,00:00:01.580,Narrator,[có trong audio nhưng thiếu trong script: số thứ tự / cue bài nghe],VAD; nội dung cue không có trong transcript
2,00:00:02.980,00:00:07.480,A,はじめまして。増田です。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
3,00:00:09.540,00:00:12.020,B,松田さんですね。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
4,00:00:12.840,00:00:15.100,A,いいえ、増田です。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
5,00:00:15.900,00:00:20.260,Question,名前はAですか、Bですか。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
6,00:00:21.900,00:00:23.440,Option,A. 増田,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
7,00:00:24.340,00:00:25.040,Option,B. 松田,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
8,00:00:25.680,00:00:27.600,Option,C. 佐野,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
9,00:00:28.400,00:00:28.840,Option,D. 鈴木,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
10,,,Narrator,Đáp án đúng: A. 増田,không tìm thấy trong audio: dòng đáp án/giải thích trong transcript không phải lời thoại Japanese
11,00:00:31.980,00:00:32.160,Narrator,[có trong audio nhưng thiếu trong script: số thứ tự / cue bài nghe],VAD; nội dung cue không có trong transcript
12,00:00:33.480,00:00:37.960,A,はじめまして。佐野です。どうぞよろしく。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
13,00:00:40.480,00:00:44.040,B,シャロさんですか。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
14,00:00:45.220,00:00:47.580,A,いいえ、佐野です。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
15,00:00:48.460,00:00:50.260,Question,名前はAですか、Bですか。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
16,00:00:52.380,00:00:52.780,Option,A. シャロ,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
17,00:00:54.260,00:00:55.660,Option,B. 佐野,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
18,00:00:56.560,00:00:57.240,Option,C. 増田,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
19,00:00:59.220,00:00:59.440,Option,D. 後藤,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
20,,,Narrator,Đáp án đúng: B. 佐野,không tìm thấy trong audio: dòng đáp án/giải thích trong transcript không phải lời thoại Japanese
21,00:01:02.920,00:01:03.940,Narrator,[có trong audio nhưng thiếu trong script: số thứ tự / cue bài nghe],VAD; nội dung cue không có trong transcript
22,00:01:04.740,00:01:08.720,A,こんにちは。鈴木です。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
23,00:01:09.860,00:01:12.280,B,ああ、鈴木さんですね。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
24,00:01:13.040,00:01:18.500,Question,名前はAですか、Bですか。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
25,00:01:20.080,00:01:22.360,Option,A. 佐野,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
26,00:01:23.760,00:01:24.320,Option,B. 松田,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
27,00:01:25.020,00:01:27.300,Option,C. 鈴木,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
28,00:01:28.420,00:01:30.020,Option,D. 後藤,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
29,,,Narrator,Đáp án đúng: C. 鈴木,không tìm thấy trong audio: dòng đáp án/giải thích trong transcript không phải lời thoại Japanese
30,00:01:32.560,00:01:32.740,Narrator,[có trong audio nhưng thiếu trong script: số thứ tự / cue bài nghe],VAD; nội dung cue không có trong transcript
31,00:01:34.200,00:01:37.520,A,失礼ですが、お名前は。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
32,00:01:38.500,00:01:40.840,B,後藤です。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
33,00:01:42.260,00:01:44.400,A,鼓動さんですか。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
34,00:01:45.320,00:01:47.600,B,いいえ、後藤です。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
35,00:01:48.300,00:01:55.840,Question,名前はAですか、Bですか。,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
36,00:01:56.640,00:01:57.620,Option,A. 鼓動,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
37,00:01:58.340,00:02:00.040,Option,B. 後藤,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
38,00:02:01.300,00:02:02.240,Option,C. 鈴木,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
39,00:02:03.300,00:02:06.180,Option,D. 佐野,"VAD alignment; tin cậy trung bình, nên rà lại bằng tai nếu dựng phụ đề"
40,,,Narrator,Đáp án đúng: B. 後藤,không tìm thấy trong audio: dòng đáp án/giải thích trong transcript không phải lời thoại Japanese
